Designator,Mid X,Mid Y,Layer,Rotation
C3,62.8930mm,71.4728mm,Bottom,270
C4,67.9730mm,71.4728mm,Bottom,270
C5,70.5130mm,71.4728mm,Bottom,270
C6,89.2730mm,65.9130mm,Bottom,270
C7,69.2430mm,71.4728mm,Bottom,270
C8,100.9930mm,71.4728mm,Bottom,270
C9,106.0730mm,71.4728mm,Bottom,270
C10,108.6130mm,71.4728mm,Bottom,270
C11,127.3730mm,65.9130mm,Bottom,270
C12,107.3430mm,71.4728mm,Bottom,270
D1,122.8370mm,25.2730mm,Bottom,0
D2,78.9940mm,24.8550mm,Bottom,0
J1,15.9756mm,88.2545mm,Bottom,180
J2,82.2125mm,29.6175mm,Top,0
J3,122.8525mm,28.6650mm,Top,0
J4,43.9156mm,88.2545mm,Bottom,180
J5,80.9425mm,72.1400mm,Top,0
J6,119.0425mm,72.1400mm,Top,0
J7,8.4836mm,66.2752mm,Bottom,90
LED1,75.5300mm,85.6550mm,Top,180
LED2,113.6300mm,85.6550mm,Top,180
LED3,89.5300mm,85.6550mm,Top,180
LED4,127.6300mm,85.6550mm,Top,180
R1,60.3530mm,71.4474mm,Bottom,270
R2,65.4330mm,71.4728mm,Bottom,270
R3,59.0830mm,71.4474mm,Bottom,270
R4,61.6230mm,71.4474mm,Bottom,270
R5,87.2250mm,62.2554mm,Bottom,270
R6,64.1630mm,71.4474mm,Bottom,270
R7,81.6450mm,67.8688mm,Bottom,270
R8,83.2412mm,65.0494mm,Bottom,270
R9,83.2412mm,67.8688mm,Bottom,270
R10,81.6450mm,62.2554mm,Bottom,270
R11,85.6288mm,67.8688mm,Bottom,270
R12,67.9692mm,74.4335mm,Bottom,270
R13,85.6288mm,65.0494mm,Bottom,270
R14,87.2250mm,67.8688mm,Bottom,270
R15,70.5130mm,74.4335mm,Bottom,270
R16,66.7030mm,74.4335mm,Bottom,90
R17,71.7830mm,74.4335mm,Bottom,90
R18,83.2412mm,62.2554mm,Bottom,270
R19,85.6288mm,62.2554mm,Bottom,90
R20,98.4530mm,71.4474mm,Bottom,270
R21,103.5330mm,71.4728mm,Bottom,270
R22,97.1830mm,71.4474mm,Bottom,270
R23,99.7230mm,71.4474mm,Bottom,270
R24,125.3250mm,62.2554mm,Bottom,270
R25,102.2630mm,71.4474mm,Bottom,270
R26,119.7450mm,67.8688mm,Bottom,270
R27,121.3412mm,65.0494mm,Bottom,270
R28,121.3412mm,67.8688mm,Bottom,270
R29,119.7450mm,62.2554mm,Bottom,270
R30,123.7288mm,67.8688mm,Bottom,270
R31,106.0692mm,74.4335mm,Bottom,270
R32,123.7288mm,65.0494mm,Bottom,270
R33,125.3250mm,67.8688mm,Bottom,270
R34,108.6130mm,74.4335mm,Bottom,270
R35,104.8030mm,74.4335mm,Bottom,90
R36,109.8830mm,74.4335mm,Bottom,90
R37,121.3412mm,62.2554mm,Bottom,270
R38,123.7288mm,62.2554mm,Bottom,90
T1,66.0680mm,64.1808mm,Bottom,270
T2,104.1680mm,64.1808mm,Bottom,270
